ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
19,総観規模の擾乱,019192,台風の発生消滅等の連絡事項,,,,,Code table,0,2,,,Local
19,総観規模の擾乱,019193,予報部の有無及び表示指示フラグ,,,,,Flag table,0,6,,,Local
19,総観規模の擾乱,019194,台風の階級,,,,,Code table,0,3,,,Local
19,総観規模の擾乱,019195,台風の大きさ,,,,,Code table,0,2,,,Local
19,総観規模の擾乱,019196,台風の強さ,,,,,Code table,0,2,,,Local
19,総観規模の擾乱,019197,台風の存在地域,,,,,Code table,0,5,,,Local
19,総観規模の擾乱,019198,台風の存在方向,,,,,Code table,0,2,,,Local
19,総観規模の擾乱,019199,台風までの距離,,,,,km,0,4,,,Local
19,総観規模の擾乱,019200,中心位置の精度,,,,,Code table,0,4,,,Local
19,総観規模の擾乱,019201,領域の広域側の方向,,,,,Code table,0,2,,,Local
19,総観規模の擾乱,019202,領域の広域側の半径,,,,,km,0,4,,,Local
19,総観規模の擾乱,019203,領域の広域側の半径,,,,,マイル,0,4,,,Local
19,総観規模の擾乱,019204,領域の狭域側の半径,,,,,km,0,4,,,Local
19,総観規模の擾乱,019205,領域の狭域側の半径,,,,,マイル,0,4,,,Local
19,総観規模の擾乱,019206,台風の予報円の半径,,,,,km,0,3,,,Local
19,総観規模の擾乱,019207,予報円の半径,,,,,マイル,0,3,,,Local
19,総観規模の擾乱,019208,予報円に台風の中心が入る確率,,,,,％,0,3,,,Local
19,総観規模の擾乱,019209,台風の呼名コード,,,,,Code table,0,5,,,Local
19,総観規模の擾乱,019210,進行方向,,,,,Code table,0,3,,,Local
19,総観規模の擾乱,019211,最大風速位置の中心からの距離,,,,,km,0,3,,,Local
19,総観規模の擾乱,019212,擾乱又は現象の種類,,,,,Code table,0,2,,,Local
19,総観規模の擾乱,019213,擾乱の位置／移動方向,,,,,Code table,0,2,,,Local
19,総観規模の擾乱,019214,擾乱の活動状況,,,,,Code table,0,2,,,Local
