FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
008198,階級震度の衰弱,0,なし,,,,,Local
008198,階級震度の衰弱,1,弱（−）,,,,,Local
008198,階級震度の衰弱,2,強（＋）,,,,,Local
008200,予測階級,1,低い又は少ない,,,,,Local
008200,予測階級,2,平年並,,,,,Local
008200,予測階級,3,高い又は多い,,,,,Local
008210,航空気象通報式で通報された気象要素,1,最大瞬間風速が通報された,,,,,Local
008210,航空気象通報式で通報された気象要素,2,風向の変動が通報された,,,,,Local
008210,航空気象通報式で通報された気象要素,3,CAVOKが通報された,,,,,Local
008210,航空気象通報式で通報された気象要素,4,最小視程又は視程の変動が通報された,,,,,Local
008210,航空気象通報式で通報された気象要素,5,滑走路視距離の変動が通報された,,,,,Local
008210,航空気象通報式で通報された気象要素,6,鉛直視程が通報された,,,,,Local
008210,航空気象通報式で通報された気象要素,7,SKCが通報された,,,,,Local
008210,航空気象通報式で通報された気象要素,8,ウインドシヤーの情報が通報された,,,,,Local
008210,航空気象通報式で通報された気象要素,9,重要な過去天気が通報された,,,,,Local
008210,航空気象通報式で通報された気象要素,10-11,保留,,,,,Local
008210,航空気象通報式で通報された気象要素,12,欠測,,,,,Local
