FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
B13192,雨・雪の変化（定性的表現）,1,強い雨は続く見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,2,雨は続く見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,3,雨は弱まる見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,4,雨はやむ見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,5,強い雪は続く見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,6,雪は続く見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,7,雪は弱まる見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,8,雪はやむ見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,9,雨がみぞれに変わる見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,10,雨がみぞれ又は雪に変わる見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,11,雨が雪に変わる見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,12,雨に変わる見込みです。,,,,,Local
B13192,雨・雪の変化（定性的表現）,13-99,保留,,,,,Local
B13195,水位警戒度,0,（なし）,,,,,Local
B13195,水位警戒度,1,指定水位,,,,,Local
B13195,水位警戒度,2,警戒水位,,,,,Local
B13195,水位警戒度,3,危険水位,,,,,Local
B13195,水位警戒度,4,計画高水位,,,,,Local
B13195,水位警戒度,5,堤防高,,,,,Local
B13195,水位警戒度,6,平常水位,,,,,Local
B13195,水位警戒度,7,注意報発表対象水位,,,,,Local
B13195,水位警戒度,8,警報発表対象水位,,,,,Local
B13196,流量警戒度,0,（なし）,,,,,Local
B13196,流量警戒度,1,指定流量,,,,,Local
B13196,流量警戒度,2,警戒流量,,,,,Local
B13196,流量警戒度,3,計画流量,,,,,Local
B13196,流量警戒度,6,平常流量,,,,,Local
B13196,流量警戒度,7,注意報発表対象流量,,,,,Local
B13196,流量警戒度,8,警報発表対象流量,,,,,Local
