FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
B01195,警報の種類,1,飛行場台風警報,,,,,Local
B01195,警報の種類,2,飛行場暴風警報,,,,,Local
B01195,警報の種類,3,飛行場強風警報,,,,,Local
B01195,警報の種類,4,飛行場高潮警報,,,,,Local
B01195,警報の種類,5,飛行場大雪警報,,,,,Local
B01195,警報の種類,6,飛行場大雨警報,,,,,Local
001197,作成種類,1,新規,,,,,Local
001197,作成種類,2,訂正,,,,,Local
001197,作成種類,3,訂正,,,,,Local
001197,作成種類,4-6,Reserved,,,,,Local
001197,作成種類,7,欠測,,,,,Local
B01198,飛行場警報及び情報の識別,1,実況：シヤーライン,,,,,Local
B01198,飛行場警報及び情報の識別,2,実況：ウィンドシヤー,,,,,Local
B01198,飛行場警報及び情報の識別,3,実況：雷,,,,,Local
B01198,飛行場警報及び情報の識別,4,実況：火山,,,,,Local
B01198,飛行場警報及び情報の識別,5,予報：風,,,,,Local
B01198,飛行場警報及び情報の識別,6,予報：地上風,,,,,Local
B01198,飛行場警報及び情報の識別,7,予報：鉛直シヤー,,,,,Local
B01198,飛行場警報及び情報の識別,8,予報：シヤーライン,,,,,Local
B01198,飛行場警報及び情報の識別,9,予報：ウィンドシヤー,,,,,Local
B01198,飛行場警報及び情報の識別,10,予報：雨,,,,,Local
B01198,飛行場警報及び情報の識別,11,予報：雪,,,,,Local
B01198,飛行場警報及び情報の識別,12,予報：気温,,,,,Local
B01198,飛行場警報及び情報の識別,13,予報：雷雨,,,,,Local
B01198,飛行場警報及び情報の識別,14,予報：雷を伴う雪,,,,,Local
B01198,飛行場警報及び情報の識別,15,予報：悪視程,,,,,Local
B01198,飛行場警報及び情報の識別,16,予報：低い雲,,,,,Local
B01198,飛行場警報及び情報の識別,17,予報：降灰,,,,,Local
B01198,飛行場警報及び情報の識別,18,予報：高潮,,,,,Local
B01198,飛行場警報及び情報の識別,19,補足事項,,,,,Local
B01198,飛行場警報及び情報の識別,20,気象的要因,,,,,Local
B01198,飛行場警報及び情報の識別,21-99,保留,,,,,Local
B01199,その後の見込み,0,定性的表現及び定量的表現ともになし（省略する）,,,,,Local
B01199,その後の見込み,1,定性的表現,,,,,Local
B01199,その後の見込み,2,定量的表現,,,,,Local
B01199,その後の見込み,3-9,保留,,,,,Local
001202,機関番号,1,気象庁,,,,,Local
001202,機関番号,2,国土交通省河川局,,,,,Local
001202,機関番号,3,国土交通省道路局,,,,,Local
001202,機関番号,4,国土交通省港湾局,,,,,Local
001202,機関番号,5,国土地理院,,,,,Local
001202,機関番号,6,海上保安庁,,,,,Local
001202,機関番号,7-9,Reserved,,,,,Local
001202,機関番号,10,都道府県,,,,,Local
001202,機関番号,11-29,Reserved,,,,,Local
001202,機関番号,30,その他,,,,,Local
001202,機関番号,31,欠測,,,,,Local
001203,潮位観測地点番号,101101,稚内,,,,,Local
001203,潮位観測地点番号,124602,横浜（山ノ内）,,,,,Local
001203,潮位観測地点番号,101703,網走,,,,,Local
001203,潮位観測地点番号,124402,大島（岡田）,,,,,Local
001203,潮位観測地点番号,101804,根室（花咲）,,,,,Local
001203,潮位観測地点番号,124403,三宅島,,,,,Local
001203,潮位観測地点番号,101902,釧路,,,,,Local
001203,潮位観測地点番号,124409,父島,,,,,Local
001203,潮位観測地点番号,102201,浦河,,,,,Local
001203,潮位観測地点番号,124410,南鳥島,,,,,Local
001203,潮位観測地点番号,102302,函館,,,,,Local
001203,潮位観測地点番号,135002,石廊崎,,,,,Local
001203,潮位観測地点番号,102402,江差,,,,,Local
001203,潮位観測地点番号,135003,内浦,,,,,Local
001203,潮位観測地点番号,101601,小樽,,,,,Local
001203,潮位観測地点番号,135004,清水港,,,,,Local
001203,潮位観測地点番号,101303,留萌,,,,,Local
001203,潮位観測地点番号,135505,御前崎,,,,,Local
001203,潮位観測地点番号,113106,下北,,,,,Local
001203,潮位観測地点番号,135006,舞阪,,,,,Local
001203,潮位観測地点番号,113101,八戸,,,,,Local
001203,潮位観測地点番号,135102,武豊（衣浦）,,,,,Local
001203,潮位観測地点番号,113301,宮古,,,,,Local
001203,潮位観測地点番号,135104,名古屋,,,,,Local
001203,潮位観測地点番号,113303,大船渡,,,,,Local
001203,潮位観測地点番号,135301,四日市,,,,,Local
001203,潮位観測地点番号,113401,鮎川,,,,,Local
001203,潮位観測地点番号,135105,赤羽―通常時,,,,,Local
001203,潮位観測地点番号,113602,小名浜,,,,,Local
001203,潮位観測地点番号,135302,鳥羽,,,,,Local
001203,潮位観測地点番号,113501,酒田,,,,,Local
001203,潮位観測地点番号,135303,尾鷲,,,,,Local
001203,潮位観測地点番号,113203,秋田,,,,,Local
001203,潮位観測地点番号,135304,熊野,,,,,Local
001203,潮位観測地点番号,113105,深浦,,,,,Local
001203,潮位観測地点番号,145603,金沢,,,,,Local
001203,潮位観測地点番号,124501,銚子（銚子漁港）,,,,,Local
001203,潮位観測地点番号,145601,能登,,,,,Local
001203,潮位観測地点番号,124503,布良,,,,,Local
001203,潮位観測地点番号,145501,富山,,,,,Local
001203,潮位観測地点番号,124401,東京（晴海）,,,,,Local
001203,潮位観測地点番号,145401,新潟西港,,,,,Local
001203,潮位観測地点番号,145404,佐渡,,,,,Local
001203,潮位観測地点番号,209402,与那国,,,,,Local
001203,潮位観測地点番号,156501,浦神,,,,,Local
001203,潮位観測地点番号,209201,南大東,,,,,Local
001203,潮位観測地点番号,156502,潮岬（串本）,,,,,Local
001203,潮位観測地点番号,124603,横須賀,,,,,Local
001203,潮位観測地点番号,156503,白浜,,,,,Local
001203,潮位観測地点番号,166703,広島,,,,,Local
001203,潮位観測地点番号,156507,御坊,,,,,Local
001203,潮位観測地点番号,102304,吉岡,,,,,Local
001203,潮位観測地点番号,156505,和歌山,,,,,Local
001203,潮位観測地点番号,113104,竜飛,,,,,Local
