FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
022200,風浪の階級,0,鏡のようになめらかである,波の高さ0 m,,,,Local
022200,風浪の階級,1,さざ波がある,波の高さ0 mを超え1/10 mまで,,,,Local
022200,風浪の階級,2,なめらか，小波がある,波の高さ1/10 mを超え1/2 mまで,,,,Local
022200,風浪の階級,3,やや波がある,波の高さ1/2 mを超え5/4 mまで,,,,Local
022200,風浪の階級,4,かなり波がある,波の高さ5/4 mを超え5/2 mまで,,,,Local
022200,風浪の階級,5,波がやや高い,波の高さ5/2 mを超え4 mまで,,,,Local
022200,風浪の階級,6,波がかなり高い,波の高さ4 mを超え6 mまで,,,,Local
022200,風浪の階級,7,相当荒れている,波の高さ6 mを超え9 mまで,,,,Local
022200,風浪の階級,8,非常に荒れている,波の高さ9 mを超え14 mまで,,,,Local
022200,風浪の階級,9,異常な状態,波の高さ14 mを超える,,,,Local
022200,風浪の階級,10-14,保留,,,,,Local
022200,風浪の階級,15,欠測,,,,,Local
