FXY,ElementName_en,CodeFigure,EntryName_en,EntryName_sub1_en,EntryName_sub2_en,Note_en,noteIDs,Status
B19192,台風発生消滅等の連絡記事,0,記事なし,,,,,Local
B19192,台風発生消滅等の連絡記事,1,台風発生の通知,,,,,Local
B19192,台風発生消滅等の連絡記事,2,台風発生の通知（台風と同等の強さの熱帯低気圧が西経域から入ってきた）,,,,,Local
B19192,台風発生消滅等の連絡記事,3,台風消滅の通知（台風が温帯低気圧に変わった）,,,,,Local
B19192,台風発生消滅等の連絡記事,4,台風消滅の通知（台風が最大風速17m/s（34ノット）未満の熱帯低気圧に変わった）,,,,,Local
B19192,台風発生消滅等の連絡記事,5,台風消滅の通知（台風が気象庁担当域外に進んだ）,,,,,Local
B19192,台風発生消滅等の連絡記事,10,情報発表時間間隔の変更通知（1時間毎から3時間毎に変更）,,,,,Local
B19192,台風発生消滅等の連絡記事,11,情報発表時間間隔の変更通知（3時間毎から1時間毎に変更）,,,,,Local
B19193,予報部の有無及び表示指示フラグ,1,12時間予報部の有無及び表示指示,,,(see Notes 1 and 2),"34190,34191",Local
B19193,予報部の有無及び表示指示フラグ,2,24時間予報部の有無及び表示指示,,,,,Local
B19193,予報部の有無及び表示指示フラグ,3,36（33）時間予報部の有無及び表示指示,,,(see Note 3),34192,Local
B19193,予報部の有無及び表示指示フラグ,4,48（45）時間予報部の有無及び表示指示,,,,,Local
B19193,予報部の有無及び表示指示フラグ,5,60（57）時間予報部の有無及び表示指示,,,,,Local
B19193,予報部の有無及び表示指示フラグ,6,72（69）時間予報部の有無及び表示指示,,,,,Local
B19194,台風の階級,TY,台風,Typhoon,,(see Note),34193,Local
B19194,台風の階級,STS,台風,Severe Tropical Storm,,,,Local
B19194,台風の階級,TS,台風,Tropical Storm,,,,Local
B19194,台風の階級,HR,発達した熱帯低気圧,Hurricane/Severe Tropical Storm,,,,Local
B19194,台風の階級,TD,熱帯低気圧,Tropical Depression,,,,Local
B19194,台風の階級,LOW,低気圧,LOW,,,,Local
B19194,台風の階級,///,不明又は階級を報じない,Unknown,,,,Local
B19195,台風の大きさ,LG,大型,,,,,Local
B19195,台風の大きさ,LL,超大型,,,,,Local
B19195,台風の大きさ,//,不明又は階級を報じない,,,,,Local
B19196,台風の強さ,ST,強い,,,,,Local
B19196,台風の強さ,VS,非常に強い,,,,,Local
B19196,台風の強さ,VI,猛烈な,,,,,Local
B19196,台風の強さ,//,不明又は階級を報じない,,,,,Local
B19197,台風の存在地域,50100,(北海道東部),,,,,Local
B19197,台風の存在地域,50106,釧路市,,,,,Local
B19197,台風の存在地域,50107,帯広市,,,,,Local
B19197,台風の存在地域,50108,北見市,,,,,Local
B19197,台風の存在地域,50111,網走市,,,,,Local
B19197,台風の存在地域,50119,紋別市,,,,,Local
B19197,台風の存在地域,50120,士別市,,,,,Local
B19197,台風の存在地域,50121,名寄市,,,,,Local
B19197,台風の存在地域,50123,根室市,,,,,Local
B19197,台風の存在地域,50200,(北海道西部),,,,,Local
B19197,台風の存在地域,50201,札幌市,,,,,Local
B19197,台風の存在地域,50202,函館市,,,,,Local
B19197,台風の存在地域,50203,小樽市,,,,,Local
B19197,台風の存在地域,50204,旭川市,,,,,Local
B19197,台風の存在地域,50205,室蘭市,,,,,Local
B19197,台風の存在地域,50209,夕張市,,,,,Local
B19197,台風の存在地域,50210,岩見沢市,,,,,Local
B19197,台風の存在地域,50212,留萌市,,,,,Local
B19197,台風の存在地域,50213,苫小牧市,,,,,Local
B19197,台風の存在地域,50214,稚内市,,,,,Local
B19197,台風の存在地域,50215,美唄市,,,,,Local
B19197,台風の存在地域,50216,芦別市,,,,,Local
B19197,台風の存在地域,50217,江別市,,,,,Local
B19197,台風の存在地域,50218,赤平市,,,,,Local
B19197,台風の存在地域,50222,三笠市,,,,,Local
B19197,台風の存在地域,50224,千歳市,,,,,Local
B19197,台風の存在地域,50225,滝川市,,,,,Local
B19197,台風の存在地域,50226,砂川市,,,,,Local
B19197,台風の存在地域,50227,歌志内市,,,,,Local
B19197,台風の存在地域,50228,深川市,,,,,Local
B19197,台風の存在地域,50229,富良野市,,,,,Local
B19197,台風の存在地域,50230,登別市,,,,,Local
B19197,台風の存在地域,50231,恵庭市,,,,,Local
B19197,台風の存在地域,50232,伊達市,,,,,Local
B19197,台風の存在地域,50233,石狩市,,,,,Local
B19197,台風の存在地域,50234,北広島市,,,,,Local
B19197,台風の存在地域,50235,北斗市,,,,,Local
B19197,台風の存在地域,50300,(青森県),,,,,Local
B19197,台風の存在地域,50301,青森市,,,,,Local
B19197,台風の存在地域,50302,弘前市,,,,,Local
B19197,台風の存在地域,50303,八戸市,,,,,Local
B19197,台風の存在地域,50304,黒石市,,,,,Local
B19197,台風の存在地域,50305,五所川原市,,,,,Local
B19197,台風の存在地域,50306,十和田市,,,,,Local
B19197,台風の存在地域,50307,三沢市,,,,,Local
B19197,台風の存在地域,50308,むつ市,,,,,Local
B19197,台風の存在地域,50309,深浦,,,(see Note 3),34197,Local
B19197,台風の存在地域,50310,つがる市,,,,,Local
B19197,台風の存在地域,50311,平川市,,,,,Local
B19197,台風の存在地域,50400,(秋田県),,,,,Local
B19197,台風の存在地域,50401,秋田市,,,,,Local
B19197,台風の存在地域,50402,能代市,,,,,Local
B19197,台風の存在地域,50403,横手市,,,,,Local
B19197,台風の存在地域,50404,大館市,,,,,Local
B19197,台風の存在地域,50405,＊本荘市,,,,,Local
B19197,台風の存在地域,50406,男鹿市,,,,,Local
B19197,台風の存在地域,50407,湯沢市,,,,,Local
B19197,台風の存在地域,50408,＊大曲市,,,(see Note 1),34195,Local
B19197,台風の存在地域,50409,鹿角市,,,,,Local
B19197,台風の存在地域,50410,由利本荘市,,,,,Local
B19197,台風の存在地域,50411,潟上市,,,,,Local
B19197,台風の存在地域,50412,大仙市,,,,,Local
B19197,台風の存在地域,50413,北秋田市,,,,,Local
B19197,台風の存在地域,50414,仙北市,,,,,Local
B19197,台風の存在地域,50415,にかほ市,,,,,Local
B19197,台風の存在地域,50500,(岩手県),,,,,Local
B19197,台風の存在地域,50501,盛岡市,,,,,Local
B19197,台風の存在地域,50502,宮古市,,,,,Local
B19197,台風の存在地域,50503,大船渡市,,,,,Local
B19197,台風の存在地域,50504,＊水沢市,,,,,Local
B19197,台風の存在地域,50505,花巻市,,,,,Local
B19197,台風の存在地域,50506,北上市,,,,,Local
B19197,台風の存在地域,50507,久慈市,,,,,Local
B19197,台風の存在地域,50508,遠野市,,,,,Local
B19197,台風の存在地域,50509,一関市,,,,,Local
B19197,台風の存在地域,50510,陸前高田市,,,,,Local
B19197,台風の存在地域,50511,釜石市,,,,,Local
B19197,台風の存在地域,50512,＊江刺市,,,,,Local
B19197,台風の存在地域,50513,二戸市,,,,,Local
B19197,台風の存在地域,50514,八幡平市,,,,,Local
B19197,台風の存在地域,50515,奥州市,,,,,Local
B19197,台風の存在地域,50516,滝沢市,,,,,Local
B19197,台風の存在地域,50600,(宮城県),,,,,Local
B19197,台風の存在地域,50601,仙台市,,,,,Local
B19197,台風の存在地域,50602,石巻市,,,,,Local
B19197,台風の存在地域,50603,塩釜市,,,,,Local
B19197,台風の存在地域,50604,＊古川市,,,,,Local
B19197,台風の存在地域,50605,気仙沼市,,,,,Local
B19197,台風の存在地域,50606,白石市,,,,,Local
B19197,台風の存在地域,50607,名取市,,,,,Local
B19197,台風の存在地域,50608,角田市,,,,,Local
B19197,台風の存在地域,50609,多賀城市,,,,,Local
B19197,台風の存在地域,50610,＊泉市,,,,,Local
B19197,台風の存在地域,50611,岩沼市,,,,,Local
B19197,台風の存在地域,50612,登米市,,,,,Local
B19197,台風の存在地域,50613,栗原市,,,,,Local
B19197,台風の存在地域,50614,東松島市,,,,,Local
B19197,台風の存在地域,50615,大崎市,,,,,Local
B19197,台風の存在地域,50616,富谷市,,,,,Local
B19197,台風の存在地域,50700,(山形県),,,,,Local
B19197,台風の存在地域,50701,山形市,,,,,Local
B19197,台風の存在地域,50702,米沢市,,,,,Local
B19197,台風の存在地域,50703,鶴岡市,,,,,Local
B19197,台風の存在地域,50704,酒田市,,,,,Local
B19197,台風の存在地域,50705,新庄市,,,,,Local
B19197,台風の存在地域,50706,寒河江市,,,,,Local
B19197,台風の存在地域,50707,上山市,,,,,Local
B19197,台風の存在地域,50708,村山市,,,,,Local
B19197,台風の存在地域,50709,長井市,,,,,Local
B19197,台風の存在地域,50710,天童市,,,,,Local
B19197,台風の存在地域,50711,東根市,,,,,Local
B19197,台風の存在地域,50712,尾花沢市,,,,,Local
B19197,台風の存在地域,50713,南陽市,,,,,Local
B19197,台風の存在地域,50800,(福島県),,,,,Local
B19197,台風の存在地域,50801,福島市,,,,,Local
B19197,台風の存在地域,50802,会津若松市,,,,,Local
B19197,台風の存在地域,50803,郡山市,,,,,Local
B19197,台風の存在地域,50804,いわき市,,,,,Local
B19197,台風の存在地域,50805,白河市,,,,,Local
B19197,台風の存在地域,50806,＊原町市,,,,,Local
B19197,台風の存在地域,50807,須賀川市,,,,,Local
B19197,台風の存在地域,50808,喜多方市,,,,,Local
B19197,台風の存在地域,50809,相馬市,,,,,Local
B19197,台風の存在地域,50810,二本松市,,,,,Local
B19197,台風の存在地域,50811,田村市,,,,,Local
B19197,台風の存在地域,50812,伊達市,,,,,Local
B19197,台風の存在地域,50813,南相馬市,,,,,Local
B19197,台風の存在地域,50814,本宮市,,,,,Local
B19197,台風の存在地域,50900,(茨城県),,,,,Local
B19197,台風の存在地域,50901,水戸市,,,,,Local
B19197,台風の存在地域,50902,日立市,,,,,Local
B19197,台風の存在地域,50903,土浦市,,,,,Local
B19197,台風の存在地域,50904,古河市,,,,,Local
B19197,台風の存在地域,50905,石岡市,,,,,Local
B19197,台風の存在地域,50906,＊下館市,,,,,Local
B19197,台風の存在地域,50907,結城市,,,,,Local
B19197,台風の存在地域,50908,龍ケ崎市,,,,,Local
B19197,台風の存在地域,50909,ひたちなか市,,,,,Local
B19197,台風の存在地域,50910,下妻市,,,,,Local
B19197,台風の存在地域,50911,＊水海道市,,,,,Local
B19197,台風の存在地域,50912,常陸太田市,,,,,Local
B19197,台風の存在地域,50913,＊勝田市,,,,,Local
B19197,台風の存在地域,50914,高萩市,,,,,Local
B19197,台風の存在地域,50915,北茨城市,,,,,Local
B19197,台風の存在地域,50916,笠間市,,,,,Local
B19197,台風の存在地域,50917,取手市,,,,,Local
B19197,台風の存在地域,50918,＊岩井市,,,,,Local
B19197,台風の存在地域,50919,つくば市,,,,,Local
B19197,台風の存在地域,50920,牛久市,,,,,Local
B19197,台風の存在地域,50921,鹿嶋市,,,,,Local
B19197,台風の存在地域,50922,潮来市,,,,,Local
