noteID,note
34002,『短く』とは，波長１００ｍ未満（周期８.０秒以下）の程度をいう。
34003,『中位の』とは，波長１００ｍ以上２００ｍ未満（周期８.１秒から１１.３秒まで）の程度をいう。
34004,『長く』とは，波長２００ｍ以上（周期１１.４秒以上）の程度をいう。
34005,"818202 （穂別），818203 （栄），818204 （鵡川），818210 （平取），818211 （富川）は使用しない。"
34006,"０，６，１２，１８時（中央標準時）には，前時刻の３６，４８，６０，７２時間予報を付加するが，この場合には『３３』，『４５』，『５７』，『６９』と表記して，３時間前に発表した３６，４８，６０，７２時間予報を記述する。なお，当面は３６時間予報と６０時間予報の発表はしない。"
