ClassNo,ClassName_en,FXY,ElementName_en,BUFR_Unit,BUFR_Scale,BUFR_ReferenceValue,BUFR_DataWidth_Bits,CREX_Unit,CREX_Scale,CREX_DataWidth_Char,Note_en,noteIDs,Status
13,湿度及び水文学的要素,013192,雨・雪の変化,,,,,Code table,0,2,,,Local
13,湿度及び水文学的要素,013193,水位,,,,,ｍ,2,5,,,Local
13,湿度及び水文学的要素,013194,流量,ｍ3ｓ-1,2,0,23,ｍ３ｓ-１,2,7,,,Local
13,湿度及び水文学的要素,013195,水位警戒度,,,,,Code table,0,1,,,Local
13,湿度及び水文学的要素,013196,流量警戒度,,,,,Code table,0,1,,,Local
13,湿度及び水文学的要素,013197,水位（観測基準面は地点により異なる）,ｍ,2,-10000,18,,,,,,Local
13,湿度及び水文学的要素,013200,降水量のメーター値,㎏ｍ-２,1,0,14,,,,,,Local
13,湿度及び水文学的要素,013201,降雨強度,㎏ｍ-２hー１,0,0,10,,,,,,Local
13,湿度及び水文学的要素,013202,降水量の平年比,％,0,0,10,,,,,,Local
12,湿度及び水文学的要素,013203,降雪の深さの平年比,％,0,0,10,,,,,,Local
13,湿度及び水文学的要素,013204,降水量の平年比が予測階級に入る確率,％,0,0,7,,,,,,Local
13,湿度及び水文学的要素,013205,降雪の深さの平年比が予測階級に入る確率,％,0,0,7,,,,,,Local
13,湿度及び水文学的要素,013208,積雪の深さの差,m,2,0,16,,,,,,Local
13,湿度及び水文学的要素,013209,流域雨量指数,数値,0,0,8,,,,,,Local
13,湿度及び水文学的要素,013210,流域雨量指数の履歴順位,位,0,0,5,,,,(see Note 30),34210,Local
13,湿度及び水文学的要素,013211,流域平均雨量,kg m-2,1,1,14,,,,,,Local
13,湿度及び水文学的要素,013212,流域雨量指数（高精度）,数値,1,0,12,,,,,,Local
13,湿度及び水文学的要素,013220,前48時間の総降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013221,前72時間の総降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013222,最大10分間降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013223,最大1時間降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013224,最大3時間降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013225,最大6時間降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013226,最大12時間降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013227,最大24時間降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013228,最大48時間降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013229,最大72時間降水量,kg m-2,1,-1,14,,,,,,Local
13,湿度及び水文学的要素,013230,最深積雪,m,2,-2,12,,,,,,Local
