Title_en,OctetNo,OctetCount,Contents_en,Note_en,noteIDs,codeTable,flagTable,Status
土砂災害警戒判定値,10,1,パラメータカテゴリー,(see Code table 4.1),,4.1,,Local
土砂災害警戒判定値,11,1,パラメータ番号,(see Code table 4.2),,4.2,,Local
土砂災害警戒判定値,12,1,パラメータ番号,(see Code table 4.2),,4.2,,Local
土砂災害警戒判定値,13,1,背景作成処理識別符 (background generating process identifier) (作成中枢が定義),(see Code table JMA4.1),,JMA4.1,,Local
土砂災害警戒判定値,14,1,解析又は予報作成処理識別符 (作成中枢が定義),(see Code table JMA4.2),,JMA4.2,,Local
土砂災害警戒判定値,15-16,2,観測資料の参照時刻からの締切時間 (cutoff time) (時),(see Note 1),33,,,Local
土砂災害警戒判定値,17,1,観測資料の参照時刻からの締切時間 (分),,,,,Local
土砂災害警戒判定値,18,1,期間の単位の指示符,(see Code table 4.4),,4.4,,Local
土砂災害警戒判定値,19-22,4,予報時間 &#x2014; 単位は第18オクテットで定義,,,,,Local
土砂災害警戒判定値,23,1,第一固定面 (fixed surface) の種類,(see Code table 4.5),,4.5,,Local
土砂災害警戒判定値,24,1,第一固定面の尺度因子,,,,,Local
土砂災害警戒判定値,25-28,4,第一固定面の尺度付きの値,,,,,Local
土砂災害警戒判定値,29,1,第二固定面 (fixed surface) の種類,(see Code table 4.5),,4.5,,Local
土砂災害警戒判定値,30,1,第二固定面の尺度因子,,,,,Local
土砂災害警戒判定値,31-34,4,第二固定面の尺度付きの値,,,,,Local
土砂災害警戒判定値,35-36,2,全時間間隔の終了時(年),,,,,Local
土砂災害警戒判定値,37,1,全時間間隔の終了時(月),,,,,Local
土砂災害警戒判定値,38,1,全時間間隔の終了時(日),,,,,Local
土砂災害警戒判定値,39,1,全時間間隔の終了時(時),,,,,Local
土砂災害警戒判定値,40,1,全時間間隔の終了時(分),,,,,Local
土砂災害警戒判定値,41,1,全時間間隔の終了時(秒),,,,,Local
土砂災害警戒判定値,42,1,統計を算出するために使用した時間間隔を記述する期間の仕様の数,,,,,Local
土砂災害警戒判定値,43-46,4,統計処理における欠測資料の総数,,,,,Local
土砂災害警戒判定値,47,1,統計処理の種類,(see Code table 4.X),,4.X,,Local
土砂災害警戒判定値,48,1,統計処理の時間増分の種類,,,,,Local
土砂災害警戒判定値,49,1,統計処理の時間の単位の指示符,,,,,Local
土砂災害警戒判定値,50-53,4,統計処理した期間の長さ,,,,,Local
土砂災害警戒判定値,54,1,連続的な資料場間の増分に関する単位の指示符,,,,,Local
土砂災害警戒判定値,55-58,4,連続的な資料場間の時間の増分,,,,,Local
土砂災害警戒判定値,59-66,8,レーダー等運用情報その1,,,,,Local
土砂災害警戒判定値,67-74,8,レーダー等運用情報その2,,,,,Local
土砂災害警戒判定値,75-82,8,雨量計運用情報
