Title_en,SubTitle_en,CodeFlag,Value,MeaningParameterDescription_en,Note_en,noteIDs,UnitComments_en,Status
走査モード,,1,0,"最初の径線又は方位角上の格子点をｒの増加方向に走査",(see Note 1),34011,,Local
走査モード,,1,1,"最初の径線又は方位角上の格子点をｒの減少方向に走査",,,,Local
走査モード,,2,0,"最初の径線又は方位角上の格子点をθの増加方向に走査",(see Note 2),34012,,Local
走査モード,,2,1,"最初の径線又は方位角上の格子点をθの減少方向に走査",,,,Local
走査モード,,3,0,"ｒ方向の隣接格子点が連続",,,,Local
走査モード,,3,1,"θ方向の隣接格子点が連続",,,,Local
走査モード,,4,0,"すべての方位角を同方向に走査",,,,Local
走査モード,,4,1,"隣接する方位角を逆方向に走査",(see Note 3),34013,,Local
走査モード,,5,0,"すべての径線を同方向に走査",,,,Local
走査モード,,5,1,"隣接する径線を逆方向に走査",(see Note 3),34013,,Local
走査モード,,6-8,,保留,,,,Local
